CoastalBlue,Blue,GreenI,Green,Yellow,Red,RedEdge,NIR,Class
413.0,347.0,543.0,608.0,491.0,350.0,916.0,3169.0,dense_vegetation
446.0,359.0,551.0,630.0,509.0,371.0,1011.0,3736.0,dense_vegetation
418.0,370.0,542.0,610.0,514.0,356.0,1008.0,3965.0,dense_vegetation
450.0,405.0,617.0,718.0,589.0,430.0,1122.0,3672.0,dense_vegetation
445.0,388.0,564.0,672.0,550.0,442.0,1069.0,3285.0,dense_vegetation
459.0,374.0,571.0,688.0,596.0,408.0,1140.0,3548.0,dense_vegetation
447.0,419.0,598.0,666.0,531.0,404.0,1103.0,3866.0,dense_vegetation
447.0,409.0,595.0,697.0,580.0,408.0,1098.0,3930.0,dense_vegetation
455.0,439.0,623.0,725.0,595.0,449.0,1162.0,3996.0,dense_vegetation
478.0,449.0,641.0,693.0,612.0,518.0,1073.0,3581.0,dense_vegetation
536.0,483.0,675.0,764.0,728.0,590.0,1274.0,3534.0,dense_vegetation
496.0,484.0,654.0,786.0,686.0,593.0,1238.0,3804.0,dense_vegetation
442.0,421.0,626.0,714.0,602.0,504.0,1024.0,3449.0,dense_vegetation
459.0,403.0,531.0,574.0,501.0,417.0,977.0,3094.0,dense_vegetation
464.0,385.0,505.0,532.0,472.0,383.0,916.0,2981.0,dense_vegetation
364.0,352.0,548.0,608.0,471.0,341.0,926.0,3305.0,dense_vegetation
403.0,365.0,543.0,641.0,497.0,353.0,978.0,3843.0,dense_vegetation
413.0,354.0,535.0,644.0,463.0,349.0,971.0,4120.0,dense_vegetation
441.0,421.0,647.0,760.0,616.0,485.0,1285.0,3892.0,dense_vegetation
519.0,409.0,626.0,701.0,559.0,426.0,1205.0,3735.0,dense_vegetation
494.0,409.0,587.0,673.0,572.0,431.0,1075.0,3558.0,dense_vegetation
488.0,409.0,604.0,665.0,569.0,415.0,1076.0,3617.0,dense_vegetation
463.0,398.0,595.0,680.0,571.0,430.0,1027.0,3886.0,dense_vegetation
435.0,425.0,590.0,659.0,559.0,423.0,1047.0,3631.0,dense_vegetation
439.0,428.0,611.0,712.0,599.0,462.0,1168.0,3788.0,dense_vegetation
540.0,453.0,690.0,786.0,693.0,564.0,1193.0,3737.0,dense_vegetation
550.0,470.0,725.0,824.0,730.0,657.0,1306.0,3487.0,dense_vegetation
506.0,477.0,691.0,830.0,694.0,673.0,1291.0,3302.0,dense_vegetation
414.0,419.0,558.0,653.0,567.0,511.0,1038.0,3192.0,dense_vegetation
430.0,369.0,494.0,552.0,494.0,399.0,854.0,2885.0,dense_vegetation
434.0,375.0,486.0,583.0,518.0,380.0,891.0,3006.0,dense_vegetation
401.0,372.0,510.0,609.0,468.0,354.0,898.0,3862.0,dense_vegetation
470.0,342.0,522.0,594.0,465.0,338.0,958.0,4005.0,dense_vegetation
442.0,339.0,511.0,590.0,445.0,336.0,1005.0,4128.0,dense_vegetation
450.0,418.0,638.0,741.0,641.0,464.0,1205.0,3878.0,dense_vegetation
527.0,410.0,628.0,696.0,564.0,450.0,1172.0,3840.0,dense_vegetation
507.0,389.0,608.0,702.0,584.0,448.0,1100.0,3782.0,dense_vegetation
516.0,400.0,614.0,685.0,557.0,442.0,1093.0,3862.0,dense_vegetation
474.0,404.0,611.0,706.0,592.0,429.0,1038.0,4014.0,dense_vegetation
471.0,418.0,596.0,677.0,547.0,423.0,1078.0,3621.0,dense_vegetation
468.0,413.0,607.0,719.0,597.0,451.0,1181.0,3740.0,dense_vegetation
520.0,440.0,707.0,764.0,682.0,536.0,1209.0,3672.0,dense_vegetation
504.0,466.0,664.0,787.0,701.0,611.0,1440.0,3569.0,dense_vegetation
480.0,468.0,641.0,781.0,698.0,627.0,1298.0,3385.0,dense_vegetation
439.0,400.0,551.0,660.0,567.0,502.0,1035.0,3064.0,dense_vegetation
441.0,388.0,473.0,514.0,475.0,378.0,827.0,2855.0,dense_vegetation
434.0,387.0,473.0,543.0,505.0,361.0,867.0,3008.0,dense_vegetation
418.0,357.0,521.0,596.0,476.0,339.0,903.0,3868.0,dense_vegetation
445.0,334.0,527.0,593.0,466.0,336.0,965.0,4085.0,dense_vegetation
426.0,332.0,531.0,600.0,475.0,344.0,1026.0,4200.0,dense_vegetation
474.0,429.0,587.0,705.0,571.0,416.0,1081.0,3760.0,dense_vegetation
466.0,404.0,637.0,703.0,599.0,440.0,1146.0,3734.0,dense_vegetation
499.0,411.0,696.0,786.0,610.0,453.0,1246.0,4384.0,dense_vegetation
482.0,405.0,638.0,749.0,585.0,438.0,1204.0,4309.0,dense_vegetation
472.0,399.0,619.0,706.0,592.0,399.0,1129.0,4066.0,dense_vegetation
421.0,401.0,562.0,668.0,569.0,398.0,1102.0,3865.0,dense_vegetation
