CoastalBlue,Blue,GreenI,Green,Yellow,Red,RedEdge,NIR,Class
531.0,519.0,570.0,617.0,659.0,725.0,852.0,1401.0,burned
536.0,519.0,564.0,618.0,656.0,719.0,861.0,1376.0,burned
529.0,511.0,588.0,618.0,692.0,714.0,885.0,1358.0,burned
532.0,516.0,588.0,658.0,704.0,669.0,884.0,1402.0,burned
490.0,502.0,570.0,667.0,697.0,732.0,867.0,1401.0,burned
557.0,529.0,604.0,629.0,693.0,732.0,887.0,1485.0,burned
561.0,517.0,582.0,671.0,731.0,708.0,877.0,1455.0,burned
557.0,507.0,568.0,646.0,736.0,723.0,888.0,1459.0,burned
523.0,493.0,579.0,655.0,687.0,705.0,900.0,1457.0,burned
493.0,509.0,542.0,622.0,660.0,705.0,891.0,1501.0,burned
535.0,495.0,589.0,638.0,708.0,720.0,929.0,1562.0,burned
525.0,511.0,536.0,625.0,672.0,660.0,786.0,1394.0,burned
532.0,528.0,555.0,614.0,685.0,687.0,828.0,1323.0,burned
531.0,503.0,559.0,618.0,679.0,665.0,820.0,1339.0,burned
543.0,508.0,568.0,612.0,666.0,663.0,800.0,1324.0,burned
514.0,518.0,560.0,618.0,669.0,702.0,842.0,1375.0,burned
548.0,511.0,560.0,624.0,686.0,681.0,848.0,1358.0,burned
591.0,521.0,576.0,624.0,706.0,713.0,876.0,1347.0,burned
499.0,519.0,597.0,635.0,703.0,685.0,866.0,1390.0,burned
537.0,504.0,578.0,636.0,707.0,697.0,857.0,1409.0,burned
552.0,488.0,582.0,637.0,680.0,727.0,876.0,1487.0,burned
568.0,513.0,574.0,641.0,724.0,712.0,905.0,1412.0,burned
545.0,519.0,565.0,645.0,748.0,716.0,904.0,1461.0,burned
504.0,512.0,574.0,634.0,675.0,707.0,874.0,1485.0,burned
528.0,512.0,568.0,635.0,716.0,715.0,911.0,1559.0,burned
515.0,506.0,549.0,615.0,671.0,616.0,807.0,1391.0,burned
516.0,502.0,541.0,586.0,647.0,698.0,830.0,1247.0,burned
519.0,490.0,547.0,602.0,662.0,699.0,842.0,1235.0,burned
535.0,522.0,565.0,628.0,693.0,672.0,763.0,1272.0,burned
483.0,483.0,559.0,615.0,656.0,682.0,890.0,1337.0,burned
483.0,467.0,563.0,624.0,672.0,672.0,835.0,1355.0,burned
532.0,513.0,564.0,636.0,706.0,698.0,873.0,1380.0,burned
576.0,516.0,582.0,625.0,704.0,678.0,850.0,1410.0,burned
600.0,523.0,589.0,617.0,700.0,686.0,859.0,1418.0,burned
556.0,524.0,607.0,654.0,701.0,723.0,873.0,1505.0,burned
533.0,485.0,560.0,654.0,730.0,719.0,909.0,1404.0,burned
521.0,497.0,559.0,649.0,718.0,704.0,897.0,1464.0,burned
511.0,508.0,570.0,617.0,662.0,706.0,843.0,1484.0,burned
510.0,521.0,560.0,646.0,724.0,721.0,896.0,1579.0,burned
524.0,511.0,535.0,617.0,663.0,660.0,836.0,1464.0,burned
510.0,495.0,574.0,614.0,644.0,681.0,866.0,1302.0,burned
495.0,500.0,586.0,626.0,648.0,697.0,854.0,1351.0,burned
519.0,497.0,541.0,667.0,668.0,668.0,885.0,1449.0,burned
556.0,516.0,571.0,634.0,644.0,675.0,791.0,1418.0,burned
